State,Constituency,Division/Seat No.,Name of Member
Maharashtra                                                 ,Pune,102,Shri  Suresh  Kalmadi                                           
Maharashtra                                                 ,Mumbai-North-West,105,Shri  Gurudas  Kamat                                             
Maharashtra                                                 ,Wardha,112,Shri  Datta  Meghe                                             
Maharashtra                                                 ,Mumbai-North,123,Shri  Sanjay  Nirupam                                           
Maharashtra                                                 ,Nanded,132,Shri  Bhaskarrao  Patil  Khatgaonkar  
Maharashtra                                                 ,Mumbai-North-Central,138,Smt.  Priya  Dutt                                              
Maharashtra                                                 ,Mumbai-South-Central,155,Shri  Eknath  Gaikwad                                           
Maharashtra                                                 ,Baramati,192,Smt.  Supriya  Sule                                              
Maharashtra                                                 ,Satara,193,Shri   Udayanraje  Bhonsle                                          
Maharashtra                                                 ,Nashik,194,Shri  Sameer  Bhujbal                                           
Maharashtra                                                 ,Thane,200,Dr.  Sanjeev Ganesh  Naik                                              
Maharashtra                                                 ,Kolhapur,205,Shri  Sadashivrao Dadoba  Mandlik                                           
Maharashtra                                                 ,Mumbai-North-East,251,Shri  Sanjay Dina  Patil                                             
Maharashtra                                                 ,Palghar,259,Shri   Baliram  Jadhav                                          
Maharashtra                                                 ,Gadchiroli-Chimur,266,Shri  Marotrao  Sainuji   Kowase                                  
Maharashtra                                                 ,Bhiwandi,267,Shri   Suresh  Kashinath   Taware                                
Maharashtra                                                 ,Latur,268,Shri  Jaywant  Gangaram   Awale                                  
Maharashtra                                                 ,Ratnagiri-Sindhudurg,269,Dr.  Nilesh N.  Rane                                              
Maharashtra                                                 ,Osmanabad,351,Dr.  Padamsinha  Bajirao  Patil                                    
Maharashtra                                                 ,Raigad,368,Shri  Anant Gangaram  Geete                                             
Maharashtra                                                 ,Aurangabad,372,Shri  Chandrakant  Khaire                                            
Maharashtra                                                 ,Amravati,373,Shri  Anandrao  Adsul                                             
Maharashtra                                                 ,Yavatmal-Washim,378,Smt.  Bhavana  Gawali                                            
Maharashtra                                                 ,Shirur,384,Shri  Shivaji  Adhalrao Patil                                    
Maharashtra                                                 ,Kalyan,392,Shri  Anand Prakash  Paranjpe                                          
Maharashtra                                                 ,Buldhana,412,Shri   Prataprao  Ganpatrao Jadhav                                  
Maharashtra                                                 ,Hingoli,422,Shri  Subhash Bapurao  Wankhede                                          
Maharashtra                                                 ,Maval,431,Shri  Gajanan D.  Babar                                             
Maharashtra                                                 ,Parbhani,432,Adv.   Ganeshrao  Nagorao Dudhgaonkar                               
Maharashtra                                                 ,Shirdi,435,Shri   Bhausaheb  Rajaram   Wakchaure                               
Maharashtra                                                 ,Hatkanangle,440,Shri   Raju Shetti  
Maharashtra                                                 ,Beed,456,Shri   Gopinathrao  Pandurang   Munde                                 
Maharashtra                                                 ,Ahmednagar,483,Shri  Dilip Kumar Mansukhlal  Gandhi                                            
Maharashtra                                                 ,Jalna,496,Shri  Raosaheb  Dadarao  Danve                                             
Maharashtra                                                 ,Chandrapur,498,Shri  Hansraj Gangaram  Ahir                                              
Maharashtra                                                 ,Akola,505,Shri  Sanjay  Dhotre                                            
Maharashtra                                                 ,Dindori,508,Shri  Harischandra Deoram  Chavan                                            
Maharashtra                                                 ,Raver,509,Shri  Haribhau  Jawale                                            
Maharashtra                                                 ,Jalgaon,530,Shri  A.T. Nana  Patil                                             
Maharashtra                                                 ,Dhule,532,Shri  Sonawane  Pratap Narayanrao                                 
Manipur                                                     ,Inner Manipur,156,Dr.  Thokchom  Meinya                                            
Manipur                                                     ,Outer Manipur,270,Shri  Thangso  Baite                                             
Meghalaya                                                   ,Shillong,78,Shri  Vincent H.  Pala                                              
Mizoram                                                     ,Mizoram,275,Shri  C. L.  Ruala                                             
Nagaland                                                    ,Nagaland,258,Shri  C. M.  Chang                                             
Orissa                                                      ,Kalahandi,134,Shri  Bhakta Charan  Das                                               
Orissa                                                      ,Nabarangpur,271,Shri  Pradeep  Majhi                                             
Orissa                                                      ,Sambalpur,272,Shri  Amarnath  Pradhan                                           
Orissa                                                      ,Sundargarh,273,Shri  Hemanand  Biswal                                            
Orissa                                                      ,Bargarh,274,Shri  Sanjay  Bhoi                                              
Orissa                                                      ,Jagatsinghpur,360,Shri  Bibhu Prasad  Tarai                                             
Orissa                                                      ,Bhadrak,367,Shri  Arjun Charan  Sethi                                             
Orissa                                                      ,Cuttack,370,Shri  Bhartruhari  Mahtab                                            
Orissa                                                      ,Bhubaneswar,377,Shri  Prasanna  Kumar Patasani                                    
Orissa                                                      ,Dhenkanal,383,Shri  Tathagata  Satpathy                                          
Orissa                                                      ,Jajpur,391,Shri  Mohan  Jena                                              
Orissa                                                      ,Puri,399,Shri  Pinaki  Misra                                             
Orissa                                                      ,Kendrapara,400,Shri  Baijayant  Panda                                             
Orissa                                                      ,Koraput,409,Shri  Jayaram  Pangi                                             
Orissa                                                      ,Kandhamal,410,Shri  Rudramadhab  Ray                                               
Orissa                                                      ,Aska,421,Shri  Nityananda  Pradhan                                           
Orissa                                                      ,Keonjhar,427,Shri  Yashbant N.S.  Laguri                                            
Orissa                                                      ,Bolangir,428,Shri  Kalikesh N. Singh  Deo                                               
Orissa                                                      ,Berhampur,441,Shri  Sidhant  Mohapatra                                         
Orissa                                                      ,Mayurbhanj,442,Shri  Laxman  Tudu                                              
Punjab                                                      ,Ludhiana,39,Shri  Manish  Tewari                                            
Punjab                                                      ,Sangrur,85,Shri  Vijay Inder  Singla                                            
Punjab                                                      ,Anandpur Sahib,89,Shri  Ravneet  Singh                                             
Punjab                                                      ,Hoshiarpur,139,Smt.  Santosh  Chowdhary                                         
Punjab                                                      ,Fategarh Sabhib,140,Sardar  Sukhdev  Singh    Libra                                    
Punjab                                                      ,Jalandhar,243,Shri  Mohinder Singh  Kaypee                                            
Punjab                                                      ,Gurdaspur,244,Shri  Partap Singh  Bajwa                                             
Punjab                                                      ,Khadoor Sahib,376,Dr.  Rattan Singh  Ajnala                                            
Punjab                                                      ,Bathinda,389,Smt.  Harsimrat Kaur  Badal                                             
Punjab                                                      ,Faridkot,390,Smt.  Paramjit Kaur  Gulshan                                           
Punjab                                                      ,Ferozpur,446,Shri  Sher Singh  Ghubaya                                           
Punjab                                                      ,Amritsar,507,Shri  Navjot Singh  Sidhu                                             
Rajasthan                                                   ,Jodhpur,30,Smt.  Chandresh  Kumari                                            
Rajasthan                                                   ,Jaipur Rural,71,Shri  Lal Chand  Kataria                                           
Rajasthan                                                   ,Jhunjhunu,98,Shri  Sheesh Ram  Ola                                               
Rajasthan                                                   ,Chittorgarh,120,Dr.  Girija  Vyas                                              
Rajasthan                                                   ,Banswara,135,Shri  Tarachand  Bhagora                                           
Rajasthan                                                   ,Nagaur,167,Dr.  Jyoti  Mirdha                                            
Rajasthan                                                   ,Alwar,220,Shri  Jitendra  Singh Malik                                       
Rajasthan                                                   ,Jaipur,229,Shri  Mahesh  Joshi                                             
Rajasthan                                                   ,Kota,230,Shri  Ijyaraj  Singh                                             
Rajasthan                                                   ,Rajsamand,232,Shri  Gopal  Singh  Shekhawat                                  
Rajasthan                                                   ,Udaipur,233,Shri  Raghuvir Singh  Meena                                             
Rajasthan                                                   ,Barmer,234,Shri  Harish  Choudhary                                         
Rajasthan                                                   ,Pali,235,Shri  Badri Ram  Jakhar                                            
Rajasthan                                                   ,Karauli-Dholpur,236,Shri  Khiladi Lal  Bairwa                                            
Rajasthan                                                   ,Bharatpur,237,Shri  Ratan  Singh                                             
Rajasthan                                                   ,Ganganagar,239,Shri  Bharat Ram  Meghwal                                           
Rajasthan                                                   ,Dausa,420,Dr.  Kirodi  Lal  Meena                                        
Rajasthan                                                   ,Churu,486,Shri  Ram Singh  Kaswan                                            
Rajasthan                                                   ,Jhalawar-Baran,511,Shri  Dushyant  Singh                                             
Rajasthan                                                   ,Jalore,525,Shri  Devji M.  Patel                                             
Rajasthan                                                   ,Bikaner,529,Shri  Arjun Ram  Meghwal                                           
Sikkim                                                      ,Sikkim,257,Shri  Prem Das  Rai                                               
Tamil Nadu                                                  ,Chennai Central,15,Shri  Dayanidhi  Maran                                             
Tamil Nadu                                                  ,Nilgiris,16,Shri  A.  Raja                                              
Tamil Nadu                                                  ,Theni,73,Shri  J.M.  Aaron Rashid                                      
Tamil Nadu                                                  ,Kancheepuram,97,Shri  P.  Viswanathan                                       
Tamil Nadu                                                  ,Sriperumbudur,99,Shri  T.R.  Baalu                                             
Tamil Nadu                                                  ,Dindigul,128,Shri  N.S.V.  Chitthan                                          
Tamil Nadu                                                  ,Arani,157,Shri  M.  Krishnaswamy                                      
Tamil Nadu                                                  ,Virudhunagar,169,Shri  Manicka  Tagore                                            
Tamil Nadu                                                  ,Cuddalore,173,Shri  S.  Alagiri                                           
Tamil Nadu                                                  ,Chennai North,190,Shri  T.K.S.  Elangovan                                         
Tamil Nadu                                                  ,Tiruvannamalai,195,Shri  D.  Venugopal                                         
Tamil Nadu                                                  ,Nagapattinam,197,Shri  A.K.S.  Vijayan                                           
Tamil Nadu                                                  ,Krisnagiri,198,Shri  E.G.  Sugavanam                                         
